config,model_path,module_id,component,layer_idx,operator,phase,flow_step,tensor_role,attention_kind,calls,total_elements_reported,zero_elements_reported,zero_rate_reported,protected_elements,fp_sidepath_ratio,total_elements_native,zero_elements_native,zero_rate_native,total_bits_reported,sparse_bits_reported,sparse_bit_rate_reported,protected_bits,total_bits_native,sparse_bits_native,sparse_bit_rate_native,amplitude_zero_bits_native,amplitude_zero_bit_rate_native,ideal_sparse_upper_bound
,,expert.layer.0.pv,expert,0,pv,denoise,9,B,self,1465,319252800,6467352,0.020257776909082707,6383418,0.019994869269744853,312869382,83934,0.00026827169684504314,1277011200,678627360,0.5314184871675361,25533672,1251477528,653093688,0.5218581024333023,653093688,0.5218581024333023,2.091429354108226
,,expert.layer.0.pv,expert,0,pv,denoise,9,O,self,1465,70320000,1105426,0.015719937428896474,1098750,0.015625,69221250,6676,9.64443722122903e-05,281280000,147659716,0.5249563282138794,4395000,276885000,143264716,0.5174159524712426,143264716,0.5174159524712426,2.072177903767964
,,expert.layer.0.qk,expert,0,qk,denoise,0,A,self,1465,70320000,1099782,0.01563967576791809,1098750,0.015625,69221250,1032,1.4908716615201257e-05,281280000,150854786,0.5363153654721274,4395000,276885000,146459786,0.5289552919081929,146459786,0.5289552919081929,2.1229407375172102
,,expert.layer.0.qk,expert,0,qk,denoise,0,B,self,1465,319252800,8210136,0.025716723549488056,8205615,0.02570256235810618,311047185,4521,1.4534772272573371e-05,1277011200,685050873,0.5364486020169597,32822460,1244188740,652228413,0.5242198325954951,652228413,0.5242198325954951,2.101811022210615
,,expert.layer.0.qk,expert,0,qk,denoise,0,O,self,1465,249416250,2202745,0.00883160179018007,2197500,0.00881057268722467,247218750,5245,2.1216028315004426e-05,997665000,503381096,0.5045592418296723,8790000,988875000,494591096,0.5001553239792693,494591096,0.5001553239792693,2.0006214889813605
,,expert.layer.0.qk,expert,0,qk,denoise,1,A,self,1465,70320000,1099748,0.015639192263936293,1098750,0.015625,69221250,998,1.4417537967026021e-05,281280000,150966908,0.536713978953356,4395000,276885000,146571908,0.5293602325875364,146571908,0.5293602325875364,2.124767325757262
,,expert.layer.0.qk,expert,0,qk,denoise,1,B,self,1465,319252800,8204763,0.025699893626618155,8200350,0.025686070725143208,311052450,4413,1.418731792660691e-05,1277011200,684744528,0.5362087098374705,32801400,1244209800,651943128,0.5239816693294008,651943128,0.5239816693294008,2.1007594362831203
,,expert.layer.0.qk,expert,0,qk,denoise,1,O,self,1465,249416250,2202664,0.008831277031869415,2197500,0.00881057268722467,247218750,5164,2.0888383263809884e-05,997665000,498130480,0.4992963369467707,8790000,988875000,489340480,0.4948456377196309,489340480,0.4948456377196309,1.9795929218265034
,,expert.layer.0.qk,expert,0,qk,denoise,2,A,self,1465,70320000,1099767,0.015639462457337883,1098750,0.015625,69221250,1017,1.4692020152771005e-05,281280000,151025545,0.5369224438282139,4395000,276885000,146630545,0.5295720064286618,146630545,0.5295720064286618,2.125723838006155
,,expert.layer.0.qk,expert,0,qk,denoise,2,B,self,1465,319252800,8198880,0.025681466223632182,8194434,0.025667539955796785,311058366,4446,1.4293137513620193e-05,1277011200,684577959,0.5360782732367578,32777736,1244233464,651800223,0.5238568499070686,651800223,0.5238568499070686,2.100208728834647
,,expert.layer.0.qk,expert,0,qk,denoise,2,O,self,1465,249416250,2202386,0.008830162429272351,2197500,0.00881057268722467,247218750,4886,1.976387308810517e-05,997665000,494568401,0.49572592102559476,8790000,988875000,485778401,0.49124348476804447,485778401,0.49124348476804447,1.965576793732211
,,expert.layer.0.qk,expert,0,qk,denoise,3,A,self,1465,70320000,1099835,0.01564042946530148,1098750,0.015625,69221250,1085,1.5674377449121477e-05,281280000,151138508,0.5373240472127417,4395000,276885000,146743508,0.5299799844700869,146743508,0.5299799844700869,2.127568969318409
,,expert.layer.0.qk,expert,0,qk,denoise,3,B,self,1465,319252800,8181630,0.025627433807941545,8177280,0.025613808242245642,311075520,4350,1.3983742597295987e-05,1277011200,684405039,0.5359428633045662,32709120,1244302080,651695919,0.5237441369542676,651695919,0.5237441369542676,2.0997116835577416
,,expert.layer.0.qk,expert,0,qk,denoise,3,O,self,1465,249416250,2202277,0.008829725408829618,2197500,0.00881057268722467,247218750,4777,1.9322968019213753e-05,997665000,492898253,0.49405186410267976,8790000,988875000,484108253,0.489554547339148,484108253,0.489554547339148,1.9590731875212057
,,expert.layer.0.qk,expert,0,qk,denoise,4,A,self,1465,70320000,1099850,0.015640642775881685,1098750,0.015625,69221250,1100,1.589107391155173e-05,281280000,151241372,0.5376897468714448,4395000,276885000,146846372,0.5303514888852773,146846372,0.5303514888852773,2.129251932741093
,,expert.layer.0.qk,expert,0,qk,denoise,4,B,self,1465,319252800,8168280,0.02558561741666792,8163798,0.025571578385530213,311089002,4482,1.440745243703601e-05,1277011200,684251655,0.5358227515937214,32655192,1244356008,651596463,0.5236415132091362,651596463,0.5236415132091362,2.09925933457554
,,expert.layer.0.qk,expert,0,qk,denoise,4,O,self,1465,249416250,2202517,0.008830687655676003,2197500,0.00881057268722467,247218750,5017,2.0293768170901275e-05,997665000,492029464,0.49318104173244526,8790000,988875000,483239464,0.48867598432562254,483239464,0.48867598432562254,1.9557070846381335
,,expert.layer.0.qk,expert,0,qk,denoise,5,A,self,1465,70320000,1099883,0.015641112059158135,1098750,0.015625,69221250,1133,1.6367806128898278e-05,281280000,151397494,0.5382447881114903,4395000,276885000,147002494,0.5309153403037362,147002494,0.5309153403037362,2.1318113464795636
,,expert.layer.0.qk,expert,0,qk,denoise,5,B,self,1465,319252800,8156571,0.0255489411525913,8152110,0.02553496790004661,311100690,4461,1.4339408890414226e-05,1277011200,684094614,0.5356997761648449,32608440,1244402760,651486174,0.5235332120285557,651486174,0.5235332120285557,2.0987821716965764
,,expert.layer.0.qk,expert,0,qk,denoise,5,O,self,1465,249416250,2202775,0.008831722071035868,2197500,0.00881057268722467,247218750,5275,2.1337378333965365e-05,997665000,492398884,0.4935513263470203,8790000,988875000,483608884,0.48904956035899383,483608884,0.48904956035899383,1.95713697927846
,,expert.layer.0.qk,expert,0,qk,denoise,6,A,self,1465,70320000,1099940,0.015641922639362912,1098750,0.015625,69221250,1190,1.7191252686133233e-05,281280000,151529415,0.5387137905290103,4395000,276885000,147134415,0.5313917872040739,147134415,0.5313917872040739,2.133978817898971
,,expert.layer.0.qk,expert,0,qk,denoise,6,B,self,1465,319252800,8148831,0.025524697042594458,8144346,0.02551064861451489,311108454,4485,1.4416194553170194e-05,1277011200,683894433,0.5355430187299846,32577384,1244433816,651317049,0.5233842415931262,651317049,0.5233842415931262,2.0981261789215275
,,expert.layer.0.qk,expert,0,qk,denoise,6,O,self,1465,249416250,2203302,0.008833835004736059,2197500,0.00881057268722467,247218750,5802,2.3469093667045886e-05,997665000,493717204,0.4948727318288203,8790000,988875000,484927204,0.4903827116672987,484927204,0.4903827116672987,1.9622568207441868
,,expert.layer.0.qk,expert,0,qk,denoise,7,A,self,1465,70320000,1099844,0.015640557451649603,1098750,0.015625,69221250,1094,1.5804395326579628e-05,281280000,151554921,0.5388044688566553,4395000,276885000,147159921,0.531483904870253,147159921,0.531483904870253,2.134398391848349
,,expert.layer.0.qk,expert,0,qk,denoise,7,B,self,1465,319252800,8192277,0.02566078355459999,8187891,0.02564704522560178,311064909,4386,1.4099951081270951e-05,1277011200,683698548,0.5353896254003098,32751564,1244259636,650946984,0.5231600906806239,650946984,0.5231600906806239,2.097139900532578
,,expert.layer.0.qk,expert,0,qk,denoise,7,O,self,1465,249416250,2203632,0.00883515809414984,2197500,0.00881057268722467,247218750,6132,2.480394387561623e-05,997665000,497348021,0.49851204662887844,8790000,988875000,488558021,0.4940543759322462,488558021,0.4940543759322462,1.9764969839250648
,,expert.layer.0.qk,expert,0,qk,denoise,8,A,self,1465,70320000,1100019,0.015643046075085324,1098750,0.015625,69221250,1269,1.833252072159922e-05,281280000,151434813,0.5383774637372014,4395000,276885000,147039813,0.5310501218917602,147039813,0.5310501218917602,2.1324240535769725
,,expert.layer.0.qk,expert,0,qk,denoise,8,B,self,1465,319252800,8202957,0.02569423666761889,8198619,0.025680648689690427,311054181,4338,1.3946123424716158e-05,1277011200,683641080,0.5353446234457458,32794476,1244216724,650846604,0.5230974567739374,650846604,0.5230974567739374,2.0968644730543557
